,Date,Underlying,C135
0,2023-04-24,125.4,1.15
1,2023-04-25,125.89,1.39
2,2023-04-26,125.85,1.37
3,2023-04-27,126.97,1.6
4,2023-04-28,126.41,1.31
5,2023-05-01,126.09,1.25
6,2023-05-02,125.16,1.05
7,2023-05-03,123.45,0.86
8,2023-05-04,122.57,0.74
9,2023-05-05,123.65,0.82
10,2023-05-08,123.4,0.7
11,2023-05-09,121.17,0.65
12,2023-05-10,122.02,0.7
13,2023-05-11,120.9,0.51
14,2023-05-12,122.84,0.64
15,2023-05-15,123.36,0.72
16,2023-05-16,123.46,0.74
17,2023-05-17,125.71,1.1
18,2023-05-18,126.15,1.2
19,2023-05-19,127.26,1.56
20,2023-05-22,127.5,1.58
21,2023-05-23,128.18,1.77
22,2023-05-24,125.68,1.26
23,2023-05-25,126.76,1.58
24,2023-05-26,128.89,2.42
25,2023-05-30,129.48,2.45
26,2023-05-31,128.59,1.98
27,2023-06-01,129.82,2.27
28,2023-06-02,132.42,3.25
29,2023-06-05,132.64,3.25
30,2023-06-06,132.69,3.07
31,2023-06-07,134.38,4.1
32,2023-06-08,134.41,3.95
33,2023-06-09,135.3,4.27
34,2023-06-12,136.42,5
35,2023-06-13,137.6,5.58
36,2023-06-14,137.2,5.3
37,2023-06-15,138.4,6.1
38,2023-06-16,137.48,5.37
39,2023-06-20,135.96,4.42
40,2023-06-21,133.69,3.05
41,2023-06-22,131.17,1.83
42,2023-06-23,129.43,1.24
43,2023-06-26,131.34,1.69
44,2023-06-27,132.34,2.1
45,2023-06-28,131.76,1.85
46,2023-06-29,134.06,2.77
47,2023-06-30,133.81,2.49
48,2023-07-03,133.67,2.49
49,2023-07-05,134.24,2.76
50,2023-07-06,132.16,1.84
51,2023-07-07,132.08,1.68
52,2023-07-10,132.9,1.86
53,2023-07-11,134.44,2.67
54,2023-07-12,132.84,1.89
55,2023-07-13,133.92,2.16
56,2023-07-14,133.4,1.95
57,2023-07-17,134.24,2.27
58,2023-07-18,135.36,2.81
59,2023-07-19,135.48,3.05
60,2023-07-20,138.38,3.4
61,2023-07-21,138.94,4
