,Date,Underlying,C145
0,2022-11-21,146.68,8.6
1,2022-11-22,149.1,10.1
2,2022-11-23,148.75,9.8
3,2022-11-25,148.37,9.55
4,2022-11-28,146.18,8.0
5,2022-11-29,146.49,8.2
6,2022-11-30,148.9,7.95
7,2022-12-01,149.16,10.06
8,2022-12-02,148.67,9.25
9,2022-12-05,147.41,8.4
10,2022-12-06,147.5,8.6
11,2022-12-07,147.27,8.58
12,2022-12-08,147.78,8.68
13,2022-12-09,147.05,8.1
14,2022-12-12,149.21,9.2
15,2022-12-13,150.57,10.65
16,2022-12-14,149.86,9.1
17,2022-12-15,142.36,5.1
18,2022-12-16,140.16,3.85
19,2022-12-19,138.87,3.15
20,2022-12-20,141.28,4.15
21,2022-12-21,142.14,4.67
22,2022-12-22,140.88,3.82
23,2022-12-23,141.65,4.28
24,2022-12-27,142.42,4.52
25,2022-12-28,140.02,3.65
26,2022-12-29,141.06,3.75
27,2022-12-30,140.89,3.5
28,2023-01-03,141.55,3.58
29,2023-01-04,142.6,4.11
30,2023-01-05,141.11,3.55
31,2023-01-06,143.7,4.51
32,2023-01-09,143.55,4.68
33,2023-01-10,144.8,4.95
34,2023-01-11,145.26,5.0
35,2023-01-12,145.55,5.08
36,2023-01-13,145.89,5.07
37,2023-01-17,145.19,4.59
38,2023-01-18,140.41,2.34
39,2023-01-19,140.62,2.8
40,2023-01-20,141.2,2.47
41,2023-01-23,141.86,2.56
42,2023-01-24,141.49,2.36
43,2023-01-25,140.76,1.9
44,2023-01-26,134.45,0.13
45,2023-01-27,134.39,0.1
46,2023-01-30,135.3,0.1
47,2023-01-31,134.73,0.06
48,2023-02-01,135.09,0.02
49,2023-02-02,136.39,0.05
50,2023-02-03,136.94,0.05
51,2023-02-06,136.18,0.04
52,2023-02-07,135.84,0.01
53,2023-02-08,135.98,0.05
54,2023-02-09,133.75,0.02
55,2023-02-10,135.6,0.06
56,2023-02-13,137.35,0.06
57,2023-02-14,136.01,0.04
58,2023-02-15,136.4,0.02
59,2023-02-16,135.0,0.01
60,2023-02-17,135.02,0.01
