,Date,Underlying,C135
0,2023-01-23,141.86,10.79
1,2023-01-24,141.49,10.8
2,2023-01-25,140.76,10.0
3,2023-01-26,134.45,5.15
4,2023-01-27,134.39,4.85
5,2023-01-30,135.3,5.08
6,2023-01-31,134.73,4.56
7,2023-02-01,135.09,5.1
8,2023-02-02,136.39,5.63
9,2023-02-03,136.94,5.82
10,2023-02-06,136.18,5.2
11,2023-02-07,135.84,5.25
12,2023-02-08,135.98,5.45
13,2023-02-09,133.75,4.95
14,2023-02-10,135.6,6.2
15,2023-02-13,137.35,6.9
16,2023-02-14,136.01,6.2
17,2023-02-15,136.4,5.98
18,2023-02-16,135.0,5.45
19,2023-02-17,135.02,5.19
20,2023-02-21,131.71,3.76
21,2023-02-22,130.97,3.14
22,2023-02-23,130.79,3.1
23,2023-02-24,130.57,2.98
24,2023-02-27,130.49,2.78
25,2023-02-28,129.3,2.48
26,2023-03-01,128.19,1.84
27,2023-03-02,128.93,2.12
28,2023-03-03,129.64,2.11
29,2023-03-06,130.19,2.23
30,2023-03-07,128.25,1.68
31,2023-03-08,128.05,1.59
32,2023-03-09,126.16,1.22
33,2023-03-10,125.45,1.15
34,2023-03-13,125.58,1.2
35,2023-03-14,124.65,0.82
36,2023-03-15,123.28,0.66
37,2023-03-16,124.7,0.72
38,2023-03-17,123.69,0.69
39,2023-03-20,125.94,0.92
40,2023-03-21,126.57,0.94
41,2023-03-22,124.05,0.54
42,2023-03-23,123.37,0.52
43,2023-03-24,125.29,0.65
44,2023-03-27,129.31,1.62
45,2023-03-28,129.34,1.57
46,2023-03-29,129.71,1.51
47,2023-03-30,129.22,1.34
48,2023-03-31,131.09,1.7
49,2023-04-03,132.06,2.03
50,2023-04-04,131.6,1.85
51,2023-04-05,132.14,2.02
52,2023-04-06,130.5,1.46
53,2023-04-10,131.03,1.46
54,2023-04-11,130.42,1.38
55,2023-04-12,128.54,0.84
56,2023-04-13,127.9,0.67
57,2023-04-14,128.14,0.66
58,2023-04-17,127.82,0.53
59,2023-04-18,127.78,0.45
60,2023-04-19,126.32,0.23
61,2023-04-20,126.36,0.01
62,2023-04-21,125.73,0.01
