Date,A_YLD_1,rf_rate_annualized,r
2022-11-02,4.1099,0.041099,0.040276885975584605
2022-11-03,4.125,0.04125,0.040421914498915405
2022-11-04,4.0977,0.040977,0.040159695248503
2022-11-07,4.074,0.04074,0.039931998591345476
2022-11-08,4.188,0.04188,0.04102677355159792
2022-11-09,4.1849,0.041849,0.040997019202541805
2022-11-10,4.1598,0.041597999999999996,0.040756072347436466
2022-11-14,4.1645,0.041645,0.040801194303932066
2022-11-15,4.2113,0.042113,0.04125038274891385
2022-11-16,4.216,0.04216,0.04129548240717155
2022-11-17,4.2129,0.042129,0.04126573605241731
2022-11-18,4.2322,0.042322,0.041450916707228974
2022-11-21,4.1929,0.041929,0.041073802813885604
2022-11-22,4.3071,0.043071,0.042169246568513605
2022-11-23,4.3035,0.043035,0.04213473250259009
2022-11-25,4.2761,0.04276099999999999,0.04187200306828684
2022-11-28,4.286,0.042859999999999995,0.0419669388213064
2022-11-29,4.3641,0.043641,0.04271556059189274
2022-11-30,4.3429,0.043429,0.042512404971114096
2022-12-01,4.2958,0.042957999999999996,0.042060906751463546
2022-12-02,4.2865,0.042865,0.041971733317225125
2022-12-05,4.2679,0.042679,0.041793362589498284
2022-12-06,4.3382,0.043382,0.042467360163503005
2022-12-07,4.2833,0.042832999999999996,0.04194104814611929
2022-12-08,4.2543,0.042543,0.04166292084258333
2022-12-09,4.2787,0.042787,0.04189693656298579
2022-12-12,4.2705,0.042705,0.041818298045032065
2022-12-13,4.3538,0.04353799999999999,0.0426168627800773
2022-12-14,4.317,0.04317,0.04226415410803005
2022-12-15,4.3035,0.043035,0.04213473250259009
2022-12-16,4.271,0.04271,0.04182309325365965
2022-12-19,4.2343,0.042343,0.041471063829189345
2022-12-20,4.3304,0.043304,0.04239260047274326
2022-12-21,4.3144,0.043144,0.042239229767780974
2022-12-22,4.3087,0.043087,0.042184585771009614
2022-12-23,4.2937,0.042937,0.04204077150975603
2022-12-27,4.2803,0.04280300000000001,0.04191227994303683
2022-12-28,4.4387,0.044386999999999996,0.043430110427183324
2022-12-29,4.389,0.043890000000000005,0.042954119924598064
2022-12-30,4.3636,0.043636,0.04271076966093337
2023-01-03,4.3605,0.043605,0.042681065376663
2023-01-04,4.5061,0.045061,0.04407525691886669
2023-01-05,4.6118,0.046118,0.045086169987538886
2023-01-06,4.5893,0.045892999999999996,0.0448710659552296
2023-01-09,4.5991,0.045991,0.0449647613992137
2023-01-10,4.6675,0.046675,0.04561847300379699
2023-01-11,4.6617,0.046617,0.04556305789686021
2023-01-12,4.5833,0.045833000000000006,0.0448136970646422
2023-01-13,4.5991,0.045991,0.0449647613992137
2023-01-17,4.6011,0.046010999999999996,0.044983881839825844
2023-01-18,4.6487,0.046487,0.04543884046651071
2023-01-19,4.6403,0.046403,0.045358568689164484
2023-01-20,4.6463,0.046463000000000004,0.04541590633048159
2023-01-23,4.6509,0.046509,0.04545986296249329
2023-01-24,4.683,0.04683,0.045766550032782474
2023-01-25,4.6669,0.046669,0.045612740548930546
2023-01-26,4.6611,0.046611,0.04555732512431945
2023-01-27,4.6619,0.046619,0.04556496881373729
2023-01-30,4.6509,0.046509,0.04545986296249329
2023-01-31,4.6856,0.046856,0.04579138661286317
2023-02-01,4.6409,0.046409000000000006,0.04536430260124064
2023-02-02,4.6222,0.046222000000000006,0.04518558021731563
2023-02-03,4.6386,0.046386000000000004,0.04534232242640191
2023-02-06,4.6432,0.046432,0.04538628229296212
2023-02-07,4.6882,0.046882,0.04581622257610348
2023-02-08,4.698,0.04698,0.04590982950919791
2023-02-09,4.7493,0.047493,0.046399690214261595
2023-02-10,4.7552,0.047552000000000004,0.04645601358680551
2023-02-13,4.7624,0.04762400000000001,0.046524742896446716
2023-02-14,4.7739,0.047739000000000004,0.046634509080268165
2023-02-15,4.7655,0.047655,0.04655433322785571
2023-02-16,4.7882,0.047882,0.04677098413966293
2023-02-17,4.7961,0.047961000000000004,0.04684637146594391
2023-02-21,4.8032,0.048032000000000005,0.04691411978383172
2023-02-22,4.82,0.0482,0.04707440738592885
2023-02-23,4.8116,0.048116000000000006,0.04699426679639471
2023-02-24,4.8122,0.048122,0.04699999133721494
2023-02-27,4.7675,0.047675,0.04657342329958715
2023-02-28,4.8466,0.048465999999999995,0.047328143556999505
