date,A_YLD_1,rf_rate_annualized,r
2015-01-01,,,
2015-01-02,0.0152,0.000152,0.0001519884491703992
2015-01-05,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-01-06,0.0228,0.000228,0.00022797401195000352
2015-01-07,0.0203,0.00020299999999999997,0.0002029793982880044
2015-01-08,0.0152,0.000152,0.0001519884491703992
2015-01-09,0.0152,0.000152,0.0001519884491703992
2015-01-12,0.0152,0.000152,0.0001519884491703992
2015-01-13,0.0253,0.00025299999999999997,0.00025296800089712694
2015-01-14,0.0253,0.00025299999999999997,0.00025296800089712694
2015-01-15,0.0228,0.000228,0.00022797401195000352
2015-01-16,0.0152,0.000152,0.0001519884491703992
2015-01-19,0.0152,0.000152,0.0001519884491703992
2015-01-20,0.0101,0.000101,0.00010099489984331438
2015-01-21,0.0228,0.000228,0.00022797401195000352
2015-01-22,0.0152,0.000152,0.0001519884491703992
2015-01-23,0.0127,0.000127,0.00012699193618271755
2015-01-26,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-01-27,0.0177,0.000177,0.0001769843373482594
2015-01-28,0.0177,0.000177,0.0001769843373482594
2015-01-29,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-01-30,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-02-02,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-02-03,0.0101,0.000101,0.00010099489984331438
2015-02-04,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-02-05,0.0076,7.6e-05,7.599711214628198e-05
2015-02-06,0.0152,0.000152,0.0001519884491703992
2015-02-09,0.0025,2.5e-05,2.4999687505149974e-05
2015-02-10,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-02-11,0.0076,7.6e-05,7.599711214628198e-05
2015-02-12,0.0101,0.000101,0.00010099489984331438
2015-02-13,0.0025,2.5e-05,2.4999687505149974e-05
2015-02-16,0.0025,2.5e-05,2.4999687505149974e-05
2015-02-17,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-02-18,0.0127,0.000127,0.00012699193618271755
2015-02-19,0.0127,0.000127,0.00012699193618271755
2015-02-20,0.0127,0.000127,0.00012699193618271755
2015-02-23,0.0127,0.000127,0.00012699193618271755
2015-02-24,0.0152,0.000152,0.0001519884491703992
2015-02-25,0.0177,0.000177,0.0001769843373482594
2015-02-26,0.0152,0.000152,0.0001519884491703992
2015-02-27,0.0101,0.000101,0.00010099489984331438
2015-03-02,0.0101,0.000101,0.00010099489984331438
2015-03-03,0.0127,0.000127,0.00012699193618271755
2015-03-04,0.0127,0.000127,0.00012699193618271755
2015-03-05,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-03-06,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-03-09,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-03-10,0.0127,0.000127,0.00012699193618271755
2015-03-11,0.0127,0.000127,0.00012699193618271755
2015-03-12,0.0228,0.000228,0.00022797401195000352
2015-03-13,0.0203,0.00020299999999999997,0.0002029793982880044
2015-03-16,0.0304,0.000304,0.0003039538013627686
2015-03-17,0.0482,0.000482,0.0004818838753133277
2015-03-18,0.0355,0.00035499999999999996,0.0003549370024090941
2015-03-19,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-03-20,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-03-23,-0.0025,-2.5e-05,-2.500031250526119e-05
2015-03-24,0.0152,0.000152,0.0001519884491703992
2015-03-25,0.0177,0.000177,0.0001769843373482594
2015-03-26,0.0253,0.00025299999999999997,0.00025296800089712694
2015-03-27,0.0304,0.000304,0.0003039538013627686
2015-03-30,0.0152,0.000152,0.0001519884491703992
2015-03-31,0.0279,0.000279,0.00027896108673761675
2015-04-01,0.033,0.00033,0.00032994556197597747
2015-04-02,0.0076,7.6e-05,7.599711214628198e-05
2015-04-03,0.0076,7.6e-05,7.599711214628198e-05
2015-04-06,0.0076,7.6e-05,7.599711214628198e-05
2015-04-07,0.0152,0.000152,0.0001519884491703992
2015-04-08,0.0101,0.000101,0.00010099489984331438
2015-04-09,0.0177,0.000177,0.0001769843373482594
2015-04-10,0.0152,0.000152,0.0001519884491703992
2015-04-13,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-04-14,0.0101,0.000101,0.00010099489984331438
2015-04-15,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-04-16,0.0127,0.000127,0.00012699193618271755
2015-04-17,0.0127,0.000127,0.00012699193618271755
2015-04-20,0.0076,7.6e-05,7.599711214628198e-05
2015-04-21,0.0203,0.00020299999999999997,0.0002029793982880044
2015-04-22,0.0203,0.00020299999999999997,0.0002029793982880044
2015-04-23,0.0203,0.00020299999999999997,0.0002029793982880044
2015-04-24,0.0152,0.000152,0.0001519884491703992
2015-04-27,0.0076,7.6e-05,7.599711214628198e-05
2015-04-28,0.0101,0.000101,0.00010099489984331438
2015-04-29,0.0101,0.000101,0.00010099489984331438
2015-04-30,0.0101,0.000101,0.00010099489984331438
2015-05-01,0.0101,0.000101,0.00010099489984331438
2015-05-04,0.0025,2.5e-05,2.4999687505149974e-05
2015-05-05,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-05-06,0.0076,7.6e-05,7.599711214628198e-05
2015-05-07,0.0025,2.5e-05,2.4999687505149974e-05
2015-05-08,0.0025,2.5e-05,2.4999687505149974e-05
2015-05-11,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-05-12,0.0152,0.000152,0.0001519884491703992
2015-05-13,0.0127,0.000127,0.00012699193618271755
2015-05-14,0.0101,0.000101,0.00010099489984331438
2015-05-15,0.0101,0.000101,0.00010099489984331438
2015-05-18,0.0076,7.6e-05,7.599711214628198e-05
2015-05-19,0.0101,0.000101,0.00010099489984331438
2015-05-20,0.0127,0.000127,0.00012699193618271755
2015-05-21,0.0101,0.000101,0.00010099489984331438
2015-05-22,0.0101,0.000101,0.00010099489984331438
2015-05-25,0.0101,0.000101,0.00010099489984331438
2015-05-26,0.0076,7.6e-05,7.599711214628198e-05
2015-05-27,0.0127,0.000127,0.00012699193618271755
2015-05-28,0.0127,0.000127,0.00012699193618271755
2015-05-29,-0.0025,-2.5e-05,-2.500031250526119e-05
2015-06-01,-0.0025,-2.5e-05,-2.500031250526119e-05
2015-06-02,0.0102,0.00010200000000000001,0.00010199479835375543
2015-06-03,0.0102,0.00010200000000000001,0.00010199479835375543
2015-06-04,0.0076,7.6e-05,7.599711214628198e-05
2015-06-05,0.0127,0.000127,0.00012699193618271755
2015-06-08,0.0076,7.6e-05,7.599711214628198e-05
2015-06-09,0.0152,0.000152,0.0001519884491703992
2015-06-10,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-06-11,0.0076,7.6e-05,7.599711214628198e-05
2015-06-12,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-06-15,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-06-16,0.0076,7.6e-05,7.599711214628198e-05
2015-06-17,0.0025,2.5e-05,2.4999687505149974e-05
2015-06-18,-0.0025,-2.5e-05,-2.500031250526119e-05
2015-06-19,-0.0025,-2.5e-05,-2.500031250526119e-05
2015-06-22,-0.0025,-2.5e-05,-2.500031250526119e-05
2015-06-23,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2015-06-24,-0.0051,-5.1000000000000006e-05,-5.100130054424194e-05
2015-06-25,-0.0025,-2.5e-05,-2.500031250526119e-05
2015-06-26,-0.0051,-5.1000000000000006e-05,-5.100130054424194e-05
2015-06-29,-0.0051,-5.1000000000000006e-05,-5.100130054424194e-05
2015-06-30,0.0152,0.000152,0.0001519884491703992
2015-07-01,-0.0051,-5.1000000000000006e-05,-5.100130054424194e-05
2015-07-02,-0.0051,-5.1000000000000006e-05,-5.100130054424194e-05
2015-07-03,-0.0051,-5.1000000000000006e-05,-5.100130054424194e-05
2015-07-06,0.0076,7.6e-05,7.599711214628198e-05
2015-07-07,0.0102,0.00010200000000000001,0.00010199479835375543
2015-07-08,0.0102,0.00010200000000000001,0.00010199479835375543
2015-07-09,0.0102,0.00010200000000000001,0.00010199479835375543
2015-07-10,0.0102,0.00010200000000000001,0.00010199479835375543
2015-07-13,-0.0076,-7.6e-05,-7.600288814629866e-05
2015-07-14,0.0101,0.000101,0.00010099489984331438
2015-07-15,0.0101,0.000101,0.00010099489984331438
2015-07-16,0.0127,0.000127,0.00012699193618271755
2015-07-17,0.0127,0.000127,0.00012699193618271755
2015-07-20,0.0203,0.00020299999999999997,0.0002029793982880044
2015-07-21,0.0254,0.000254,0.0002539677474612908
2015-07-22,0.0305,0.000305,0.0003049534969553785
2015-07-23,0.0305,0.000305,0.0003049534969553785
2015-07-24,0.0305,0.000305,0.0003049534969553785
2015-07-27,0.0305,0.000305,0.0003049534969553785
2015-07-28,0.0432,0.00043200000000000004,0.0004319067148651398
2015-07-29,0.0356,0.000356,0.0003559366470353473
2015-07-30,0.0636,0.0006360000000000001,0.0006357978377123495
2015-07-31,0.0585,0.000585,0.0005848289542046669
2015-08-03,0.061,0.00061,0.000609814025625735
2015-08-04,0.0788,0.000788,0.0007876896910049694
2015-08-05,0.0763,0.0007630000000000001,0.000762709063480373
2015-08-06,0.033,0.00033,0.00032994556197597747
2015-08-07,0.0559,0.000559,0.0005588438177012024
2015-08-10,0.0661,0.000661,0.0006607816357205832
2015-08-11,0.0989,0.000989,0.0009885112617148053
2015-08-12,0.0913,0.0009130000000000001,0.0009125834690091915
2015-08-13,0.0862,0.000862,0.0008616286913632943
2015-08-14,0.0786,0.000786,0.0007856912637671474
2015-08-17,0.0482,0.000482,0.0004818838753133277
2015-08-18,0.0864,0.0008640000000000001,0.0008636269668516061
2015-08-19,0.0432,0.00043200000000000004,0.0004319067148651398
2015-08-20,0.0153,0.000153,0.00015298829669379175
2015-08-21,0.0203,0.00020299999999999997,0.0002029793982880044
2015-08-24,0.0152,0.000152,0.0001519884491703992
2015-08-25,0.0534,0.0005340000000000001,0.0005338574727374826
2015-08-26,0.0559,0.000559,0.0005588438177012024
2015-08-27,0.0483,0.00048300000000000003,0.0004828833930459395
2015-08-28,0.0458,0.000458,0.0004578951500130439
2015-08-31,-0.0051,-5.1000000000000006e-05,-5.100130054424194e-05
2015-09-01,0.0356,0.000356,0.0003559366470353473
