,Date,Underlying,C130
0,2023-02-21,131.71,7.25
1,2023-02-22,130.97,6.25
2,2023-02-23,130.79,6.2
3,2023-02-24,130.57,6.05
4,2023-02-27,130.49,5.85
5,2023-02-28,129.3,5.35
6,2023-03-01,128.19,4.49
7,2023-03-02,128.93,4.89
8,2023-03-03,129.64,5.06
9,2023-03-06,130.19,5.15
10,2023-03-07,128.25,4.35
11,2023-03-08,128.05,4.2
12,2023-03-09,126.16,3.5
13,2023-03-10,125.45,3.4
14,2023-03-13,125.58,3.18
15,2023-03-14,124.65,2.67
16,2023-03-15,123.28,2.42
17,2023-03-16,124.7,2.6
18,2023-03-17,123.69,2.63
19,2023-03-20,125.94,3.2
20,2023-03-21,126.57,3.2
21,2023-03-22,124.05,2.54
22,2023-03-23,123.37,2.07
23,2023-03-24,125.29,2.47
24,2023-03-27,129.31,4.55
25,2023-03-28,129.34,4.35
26,2023-03-29,129.71,4.5
27,2023-03-30,129.22,4.1
28,2023-03-31,131.09,5.05
29,2023-04-03,132.06,5.54
30,2023-04-04,131.6,5.35
31,2023-04-05,132.14,5.65
32,2023-04-06,130.5,4.48
33,2023-04-10,131.03,4.59
34,2023-04-11,130.42,4.55
35,2023-04-12,128.54,3.1
36,2023-04-13,127.9,2.78
37,2023-04-14,128.14,2.75
38,2023-04-17,127.82,2.4
39,2023-04-18,127.78,2.3
40,2023-04-19,126.32,1.72
41,2023-04-20,126.36,0.71
42,2023-04-21,125.73,0.39
43,2023-04-24,125.4,0.28
44,2023-04-25,125.89,0.43
45,2023-04-26,125.85,0.4
46,2023-04-27,126.97,0.48
47,2023-04-28,126.41,0.27
48,2023-05-01,126.09,0.19
49,2023-05-02,125.16,0.13
50,2023-05-03,123.45,0.07
51,2023-05-04,122.57,0.06
52,2023-05-05,123.65,0.05
53,2023-05-08,123.4,0.04
54,2023-05-09,121.17,0.04
55,2023-05-10,122.02,0.03
56,2023-05-11,120.9,0.04
57,2023-05-12,122.84,0.03
58,2023-05-15,123.36,0.01
59,2023-05-16,123.46,0.01
60,2023-05-17,125.71,0.01
61,2023-05-18,126.15,0.01
62,2023-05-19,127.26,0.01
