,Date,Underlying,C145
0,2022-10-24,132.69,1.59
1,2022-10-25,132.93,1.39
2,2022-10-26,135.01,1.85
3,2022-10-27,134.77,1.93
4,2022-10-28,138.51,2.96
5,2022-10-31,138.29,2.81
6,2022-11-01,138.2,2.53
7,2022-11-02,136.83,2.4
8,2022-11-03,134.47,1.56
9,2022-11-04,136.96,2.15
10,2022-11-07,138.34,2.58
11,2022-11-08,140.04,3.2
12,2022-11-09,137.39,2.7
13,2022-11-10,141.23,4.2
14,2022-11-11,143.17,5.2
15,2022-11-14,144.2,5.8
16,2022-11-15,144.34,5.6
17,2022-11-16,144.52,5.8
18,2022-11-17,146.09,6.4
19,2022-11-18,147.64,7.46
20,2022-11-21,146.68,6.48
21,2022-11-22,149.1,8.07
22,2022-11-23,148.75,7.93
23,2022-11-25,148.37,7.46
24,2022-11-28,146.18,6.14
25,2022-11-29,146.49,6.04
26,2022-11-30,148.9,7.9
27,2022-12-01,149.16,7.8
28,2022-12-02,148.67,7.18
29,2022-12-05,147.41,6.17
30,2022-12-06,147.5,6.39
31,2022-12-07,147.27,6.35
32,2022-12-08,147.78,6.22
33,2022-12-09,147.05,5.93
34,2022-12-12,149.21,7.25
35,2022-12-13,150.57,8.52
36,2022-12-14,149.86,7.57
37,2022-12-15,142.36,2.9
38,2022-12-16,140.16,1.89
39,2022-12-19,138.87,1.25
40,2022-12-20,141.28,1.96
41,2022-12-21,142.14,2.28
42,2022-12-22,140.88,1.86
43,2022-12-23,141.65,1.84
44,2022-12-27,142.42,2.07
45,2022-12-28,140.02,1.27
46,2022-12-29,141.06,1.44
47,2022-12-30,140.89,1.27
48,2023-01-03,141.55,1.32
49,2023-01-04,142.6,1.39
50,2023-01-05,141.11,1.09
51,2023-01-06,143.7,1.73
52,2023-01-09,143.55,1.59
53,2023-01-10,144.8,1.89
54,2023-01-11,145.26,2.15
55,2023-01-12,145.55,1.85
56,2023-01-13,145.89,1.78
57,2023-01-17,145.19,1.12
58,2023-01-18,140.41,0.06
59,2023-01-19,140.62,0.03
60,2023-01-20,141.2,0.01
