,date,C,K,expiration_date,initial_moneyness,option_id,S
0,2017-10-23,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.467977532
1,2017-10-24,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.489310844
2,2017-10-25,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.722644944
3,2017-10-26,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.744644922000003
4,2017-10-27,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.391311942
5,2017-10-30,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.338645328
6,2017-10-31,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.101977898
7,2017-11-01,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.405311928
8,2017-11-02,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,19.950646716
9,2017-11-03,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.405979594
10,2017-11-06,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.185313148
11,2017-11-07,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.403312930000002
12,2017-11-08,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.292646374
13,2017-11-09,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.199313134
14,2017-11-10,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.199313134
15,2017-11-13,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.026645639999998
16,2017-11-14,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.57997942
17,2017-11-15,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.75331258
18,2017-11-16,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.8333125
19,2017-11-17,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.00331233
20,2017-11-20,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.582646084000004
21,2017-11-21,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.187312146
22,2017-11-22,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.839979160000002
23,2017-11-24,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.036645630000002
24,2017-11-27,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.120645546000002
25,2017-11-28,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.16997883
26,2017-11-29,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.502646164
27,2017-11-30,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.58997941
28,2017-12-01,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.435312898
29,2017-12-04,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.34664632
30,2017-12-05,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.24664642
31,2017-12-06,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.883979116
32,2017-12-07,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.749312584000002
33,2017-12-08,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.008645658000002
34,2017-12-11,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.927311406
35,2017-12-12,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.735310597999998
36,2017-12-13,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.601977398
37,2017-12-14,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.525977474
38,2017-12-15,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.896643769999997
39,2017-12-18,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.591310742
40,2017-12-19,312.0,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.07331126
41,2017-12-20,308.0,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.931978068000003
42,2017-12-21,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.110644556
43,2017-12-22,306.42,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.67997832
44,2017-12-26,302.0,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.152645514
45,2017-12-27,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.775979224
46,2017-12-28,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.023978976000002
47,2017-12-29,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.756645910000003
48,2018-01-02,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.368645298
49,2018-01-03,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.14997885
50,2018-01-04,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,20.974645692
51,2018-01-05,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,21.105312228000003
52,2018-01-08,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.427310906000002
53,2018-01-09,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.245977754000002
54,2018-01-10,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.31997768
55,2018-01-11,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.52997747
56,2018-01-12,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.414644252000002
57,2018-01-16,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,22.670643996
58,2018-01-17,,20.0,2018-01-19,ATM,TSLA_2018-01-19_K20,23.143976856000002
