Unnamed: 0,date,C,K,expiration_date,option_id,S,TTM,r,IV,delta,vega,initial_moneyness,delta_start
62749,2022-09-13,2.84,170.0,2022-11-18,AAPL_2022-11-18_K170,153.84,0.18082191780821918,0.0316391610655949,0.3042745441408077,0.2536403249718402,20.94745369802312,ATM,0.506860157442349
62750,2022-09-14,3.05,170.0,2022-11-18,AAPL_2022-11-18_K170,155.31,0.1780821917808219,0.031461844676009,0.2985519043643256,0.2709751746332608,21.70974126762602,ATM,0.506860157442349
62751,2022-09-15,2.38,170.0,2022-11-18,AAPL_2022-11-18_K170,152.37,0.17534246575342466,0.0307357792352157,0.30411706445375364,0.22549478122066702,19.159224311896057,ATM,0.506860157442349
62752,2022-09-16,2.28,170.0,2022-11-18,AAPL_2022-11-18_K170,150.7,0.1726027397260274,0.0306775936367168,0.3209907669903302,0.2126502702714292,18.177056809289173,ATM,0.506860157442349
62753,2022-09-19,2.66,170.0,2022-11-18,AAPL_2022-11-18_K170,154.48,0.1643835616438356,0.0306756540584586,0.3032401678806377,0.2494647423806859,19.88057912190785,ATM,0.506860157442349
62754,2022-09-20,3.45,170.0,2022-11-18,AAPL_2022-11-18_K170,156.9,0.16164383561643836,0.0324129776322122,0.3116855221395232,0.29616967909313907,21.8049566257829,ATM,0.506860157442349
62755,2022-09-21,2.9,170.0,2022-11-18,AAPL_2022-11-18_K170,153.72,0.1589041095890411,0.0320111326256839,0.3303557123725773,0.2546433324448576,19.66225542378493,ATM,0.506860157442349
62756,2022-09-22,2.53,170.0,2022-11-18,AAPL_2022-11-18_K170,152.74,0.15616438356164383,0.0316091260748283,0.32662311559198287,0.23371156744694316,18.492125236663707,ATM,0.506860157442349
62757,2022-09-23,2.0,170.0,2022-11-18,AAPL_2022-11-18_K170,150.43,0.15342465753424658,0.0312767432112891,0.3279019536817468,0.1974849889426058,16.370701324454114,ATM,0.506860157442349
62758,2022-09-26,2.03,170.0,2022-11-18,AAPL_2022-11-18_K170,150.77,0.14520547945205478,0.0315732766791047,0.3350799239280224,0.20034182139764084,16.10093595819429,ATM,0.506860157442349
62759,2022-09-27,2.29,170.0,2022-11-18,AAPL_2022-11-18_K170,151.76,0.14246575342465753,0.0324381480894541,0.34146813596709,0.21760412737983015,16.854082241856567,ATM,0.506860157442349
62760,2022-09-28,1.68,170.0,2022-11-18,AAPL_2022-11-18_K170,149.84,0.13972602739726028,0.0323597303464799,0.3302306964926569,0.17767662745211904,14.577357367781087,ATM,0.506860157442349
