Date,K,C,S,TTM,r
2023-10-31,145.0,2.68,144.64,0.1232876712328767,0.053356863762955
2023-11-01,145.0,2.87,145.4,0.12054794520547946,0.0531018080404309
2023-11-02,145.0,3.5,147.01,0.1178082191780822,0.0528713486047762
2023-11-03,145.0,4.2,147.9,0.11506849315068493,0.0526749894072069
2023-11-06,145.0,4.67,148.97,0.10684931506849316,0.0527660593366433
2023-11-07,145.0,4.54,148.83,0.10410958904109589,0.0528372019486789
2023-11-08,145.0,4.11,148.03,0.10136986301369863,0.0528542754224768
2023-11-09,145.0,4.2,146.62,0.09863013698630137,0.0527717509318646
2023-11-10,145.0,5.84,149.02,0.0958904109589041,0.0526503232072993
2023-11-13,145.0,4.95,148.1,0.08767123287671233,0.0527660593366433
2023-11-14,145.0,7.0,150.41,0.08493150684931507,0.0526882709551525
2023-11-15,145.0,8.6,152.58,0.0821917808219178,0.052730011814622
2023-11-16,145.0,8.27,153.06,0.07945205479452055,0.0525241365904086
2023-11-17,145.0,9.16,152.89,0.07671232876712329,0.0524766938940606
2023-11-20,145.0,10.24,154.35,0.0684931506849315,0.0524947223838192
2023-11-21,145.0,9.67,153.91,0.06575342465753424,0.0525725258220113
2023-11-22,145.0,11.1,155.13,0.06301369863013699,0.0526313487933473
2023-11-24,145.0,10.5,155.18,0.057534246575342465,0.0525345736815534
2023-11-27,145.0,11.27,155.57,0.049315068493150684,0.0525763209568381
2023-11-28,145.0,11.05,155.65,0.04657534246575343,0.0527622649218321
2023-11-29,145.0,12.25,156.41,0.043835616438356165,0.0525810648551176
2023-11-30,145.0,13.05,158.56,0.0410958904109589,0.052474796139389
2023-12-01,145.0,15.7,160.55,0.038356164383561646,0.0521806006149229
2023-12-04,145.0,16.53,161.1,0.030136986301369864,0.052321066049268
2023-12-05,145.0,16.65,161.39,0.0273972602739726,0.0525639867159893
2023-12-06,145.0,15.3,160.28,0.024657534246575342,0.0525563963383111
2023-12-07,145.0,15.67,160.22,0.021917808219178082,0.052450125000919
2023-12-08,145.0,16.24,161.96,0.019178082191780823,0.0524273511020834
2023-12-11,145.0,18.5,163.51,0.010958904109589041,0.0524197596872145
2023-12-12,145.0,19.7,164.71,0.00821917808219178,0.0526389386021316
2023-12-13,145.0,18.49,163.62,0.005479452054794521,0.0520363182769191
2023-12-14,145.0,17.8,162.91,0.0027397260273972603,0.0523267601777674
2023-12-15,145.0,17.5,162.23,0.0,0.0523780058752752
