Date,K,C,S,TTM,r
2023-07-05,130.0,6.3,134.24,0.12054794520547946,0.0519717641748631
2023-07-06,130.0,5.18,132.16,0.1178082191780822,0.0521132081663637
2023-07-07,130.0,4.97,132.08,0.11506849315068493,0.0521397860124016
2023-07-10,130.0,5.12,132.9,0.10684931506849316,0.0522555812410082
2023-07-11,130.0,6.5,134.44,0.10410958904109589,0.0525886550455555
2023-07-12,130.0,5.23,132.84,0.10136986301369863,0.0524330446254162
2023-07-13,130.0,5.9,133.92,0.09863013698630137,0.0524007808979089
2023-07-14,130.0,5.4,133.4,0.0958904109589041,0.0524520228024109
2023-07-17,130.0,6.35,134.24,0.08767123287671233,0.0524691028537654
2023-07-18,130.0,7.02,135.36,0.08493150684931507,0.0526142715129607
2023-07-19,130.0,7.2,135.48,0.0821917808219178,0.0511939394520123
2023-07-20,130.0,8.55,138.38,0.07945205479452055,0.0525488059030185
2023-07-21,130.0,9.76,138.94,0.07671232876712329,0.0526009889821451
2023-07-24,130.0,9.85,139.54,0.0684931506849315,0.0526920656507374
2023-07-25,130.0,10.53,140.33,0.06575342465753424,0.0528115911914006
2023-07-26,130.0,11.5,141.07,0.06301369863013699,0.052828665102465
2023-07-27,130.0,12.79,142.97,0.06027397260273973,0.0527964141368303
2023-07-28,130.0,13.3,143.45,0.057534246575342465,0.0526996549987081
2023-07-31,130.0,14.11,144.18,0.049315068493150684,0.0526180664893608
2023-08-01,130.0,12.8,143.33,0.04657534246575343,0.0526465283533112
2023-08-02,130.0,14.25,144.17,0.043835616438356165,0.0525896038153096
2023-08-03,130.0,15.0,144.45,0.0410958904109589,0.0525820136320731
2023-08-04,130.0,14.3,144.24,0.038356164383561646,0.0525099040178378
2023-08-07,130.0,15.84,146.18,0.030136986301369864,0.0526256563989555
2023-08-08,130.0,15.9,145.91,0.0273972602739726,0.0529111848965917
2023-08-09,130.0,13.45,142.49,0.024657534246575342,0.0529282571073012
2023-08-11,130.0,13.55,143.12,0.019178082191780823,0.0527736481230731
2023-08-14,130.0,12.7,141.91,0.010958904109589041,0.0528400475478886
2023-08-15,130.0,12.02,141.87,0.00821917808219178,0.0529851623714328
2023-08-16,130.0,11.65,140.64,0.005479452054794521,0.0529775751899758
2023-08-17,130.0,11.7,140.66,0.0027397260273972603,0.0529453290265553
2023-08-18,130.0,11.0,141.41,0.0,0.052897906308978
