Date,K,C,S,TTM,r
2023-05-02,125.0,2.58,125.16,0.1232876712328767,0.0506693497745886
2023-05-03,125.0,1.95,123.45,0.12054794520547946,0.0490796460750255
2023-05-04,125.0,1.64,122.57,0.1178082191780822,0.0507786619870101
2023-05-05,125.0,1.81,123.65,0.11506849315068493,0.0506836085669165
2023-05-08,125.0,1.67,123.4,0.10684931506849316,0.0508489957015053
2023-05-09,125.0,1.44,121.17,0.10410958904109589,0.0511141283382724
2023-05-10,125.0,1.52,122.02,0.10136986301369863,0.0507358890660645
2023-05-11,125.0,1.08,120.9,0.09863013698630137,0.050111195984454
2023-05-12,125.0,1.61,122.84,0.0958904109589041,0.0503128138735891
2023-05-15,125.0,1.76,123.36,0.08767123287671233,0.0499352226254153
2023-05-16,125.0,1.88,123.46,0.08493150684931507,0.0506199177203628
2023-05-17,125.0,3.05,125.71,0.0821917808219178,0.0509345300393172
2023-05-18,125.0,3.38,126.15,0.07945205479452055,0.0508775079603529
2023-05-19,125.0,4.1,127.26,0.07671232876712329,0.0510048527922728
2023-05-22,125.0,4.27,127.5,0.0684931506849315,0.0509972505709037
2023-05-23,125.0,4.7,128.18,0.06575342465753424,0.0514855759002756
2023-05-24,125.0,3.15,125.68,0.06301369863013699,0.0519717641748631
2023-05-25,125.0,3.79,126.76,0.06027397260273973,0.0515691563341445
2023-05-26,125.0,5.38,128.89,0.057534246575342465,0.0511701868101237
2023-05-30,125.0,5.55,129.48,0.04657534246575343,0.0511872887691534
2023-05-31,125.0,4.95,128.59,0.043835616438356165,0.0525317272129536
2023-06-01,125.0,5.5,129.82,0.0410958904109589,0.05217775313857
2023-06-02,125.0,8.2,132.42,0.038356164383561646,0.0522546321542907
2023-06-05,125.0,8.17,132.64,0.030136986301369864,0.0514304849764912
2023-06-06,125.0,8.15,132.69,0.0273972602739726,0.0516090445332262
2023-06-07,125.0,9.67,134.38,0.024657534246575342,0.0514038882718214
2023-06-08,125.0,10.2,134.41,0.021917808219178082,0.0509763441641346
2023-06-09,125.0,10.52,135.3,0.019178082191780823,0.0510048527922728
2023-06-12,125.0,11.51,136.42,0.010958904109589041,0.0508984164335123
2023-06-13,125.0,12.69,137.6,0.00821917808219178,0.0511264804748834
2023-06-14,125.0,12.22,137.2,0.005479452054794521,0.0509953500065313
2023-06-15,125.0,13.34,138.4,0.0027397260273972603,0.0507159277435028
2023-06-16,125.0,12.95,137.48,0.0,0.0508119285496031
