Date,K,C,S,TTM,r
2023-04-04,130.0,5.35,131.6,0.1232876712328767,0.0473281435569995
2023-04-05,130.0,5.65,132.14,0.12054794520547946,0.0471240150087226
2023-04-06,130.0,4.48,130.5,0.1178082191780822,0.0472480233002666
2023-04-10,130.0,4.59,131.03,0.10684931506849316,0.0485025037515219
2023-04-11,130.0,4.55,130.42,0.10410958904109589,0.0489130137659685
2023-04-12,130.0,3.1,128.54,0.10136986301369863,0.0486339614942388
2023-04-13,130.0,2.78,127.9,0.09863013698630137,0.0485777606610228
2023-04-14,130.0,2.75,128.14,0.0958904109589041,0.0490777418626222
2023-04-17,130.0,2.4,127.82,0.08767123287671233,0.0492938468238336
2023-04-18,130.0,2.3,127.78,0.08493150684931507,0.0502490994056761
2023-04-19,130.0,1.72,126.32,0.0821917808219178,0.0499200018528657
2023-04-20,130.0,0.71,126.36,0.07945205479452055,0.0494432841734548
2023-04-21,130.0,0.39,125.73,0.07671232876712329,0.0494975329727375
2023-04-24,130.0,0.28,125.4,0.0684931506849315,0.0485768080773062
2023-04-25,130.0,0.43,125.89,0.06575342465753424,0.0496307631480466
2023-04-26,130.0,0.4,125.85,0.06301369863013699,0.0499200018528657
2023-04-27,130.0,0.48,126.97,0.06027397260273973,0.05001227423148
2023-04-28,130.0,0.27,126.41,0.057534246575342465,0.0492015081273334
2023-05-01,130.0,0.19,126.09,0.049315068493150684,0.0487006363524127
2023-05-02,130.0,0.13,125.16,0.04657534246575343,0.0506693497745886
2023-05-03,130.0,0.07,123.45,0.043835616438356165,0.0490796460750255
2023-05-04,130.0,0.06,122.57,0.0410958904109589,0.0507786619870101
2023-05-05,130.0,0.05,123.65,0.038356164383561646,0.0506836085669165
2023-05-08,130.0,0.04,123.4,0.030136986301369864,0.0508489957015053
2023-05-09,130.0,0.04,121.17,0.0273972602739726,0.0511141283382724
2023-05-10,130.0,0.03,122.02,0.024657534246575342,0.0507358890660645
2023-05-11,130.0,0.04,120.9,0.021917808219178082,0.050111195984454
2023-05-12,130.0,0.03,122.84,0.019178082191780823,0.0503128138735891
2023-05-15,130.0,0.01,123.36,0.010958904109589041,0.0499352226254153
2023-05-16,130.0,0.01,123.46,0.00821917808219178,0.0506199177203628
2023-05-17,130.0,0.01,125.71,0.005479452054794521,0.0509345300393172
2023-05-18,130.0,0.01,126.15,0.0027397260273972603,0.0508775079603529
2023-05-19,130.0,0.01,127.26,0.0,0.0510048527922728
