Date,K,C,S,TTM,r
2023-01-03,145.0,3.58,141.55,0.1232876712328767,0.042681065376663
2023-01-04,145.0,4.11,142.6,0.12054794520547946,0.0440752569188666
2023-01-05,145.0,3.55,141.11,0.1178082191780822,0.0450861699875388
2023-01-06,145.0,4.51,143.7,0.11506849315068493,0.0448710659552296
2023-01-09,145.0,4.68,143.55,0.10684931506849316,0.0449647613992137
2023-01-10,145.0,4.95,144.8,0.10410958904109589,0.0456184730037969
2023-01-11,145.0,5.0,145.26,0.10136986301369863,0.0455630578968602
2023-01-12,145.0,5.08,145.55,0.09863013698630137,0.0448136970646422
2023-01-13,145.0,5.07,145.89,0.0958904109589041,0.0449647613992137
2023-01-17,145.0,4.59,145.19,0.08493150684931507,0.0449838818398258
2023-01-18,145.0,2.34,140.41,0.0821917808219178,0.0454388404665107
2023-01-19,145.0,2.8,140.62,0.07945205479452055,0.0453585686891644
2023-01-20,145.0,2.47,141.2,0.07671232876712329,0.0454159063304815
2023-01-23,145.0,2.56,141.86,0.0684931506849315,0.0454598629624932
2023-01-24,145.0,2.36,141.49,0.06575342465753424,0.0457665500327824
2023-01-25,145.0,1.9,140.76,0.06301369863013699,0.0456127405489305
2023-01-26,145.0,0.13,134.45,0.06027397260273973,0.0455573251243194
2023-01-27,145.0,0.1,134.39,0.057534246575342465,0.0455649688137372
2023-01-30,145.0,0.1,135.3,0.049315068493150684,0.0454598629624932
2023-01-31,145.0,0.06,134.73,0.04657534246575343,0.0457913866128631
2023-02-01,145.0,0.02,135.09,0.043835616438356165,0.0453643026012406
2023-02-02,145.0,0.05,136.39,0.0410958904109589,0.0451855802173156
2023-02-03,145.0,0.05,136.94,0.038356164383561646,0.0453423224264019
2023-02-06,145.0,0.04,136.18,0.030136986301369864,0.0453862822929621
2023-02-07,145.0,0.01,135.84,0.0273972602739726,0.0458162225761034
2023-02-08,145.0,0.05,135.98,0.024657534246575342,0.0459098295091979
2023-02-09,145.0,0.02,133.75,0.021917808219178082,0.0463996902142615
2023-02-10,145.0,0.06,135.6,0.019178082191780823,0.0464560135868055
2023-02-13,145.0,0.06,137.35,0.010958904109589041,0.0465247428964467
2023-02-14,145.0,0.04,136.01,0.00821917808219178,0.0466345090802681
2023-02-15,145.0,0.02,136.4,0.005479452054794521,0.0465543332278557
2023-02-16,145.0,0.01,135.0,0.0027397260273972603,0.0467709841396629
2023-02-17,145.0,0.01,135.02,0.0,0.0468463714659439
