Date,K,C,S,TTM,r
2023-03-07,135.0,1.68,128.25,0.1232876712328767,0.0484920244921196
2023-03-08,135.0,1.59,128.05,0.12054794520547946,0.0486091954146221
2023-03-09,135.0,1.22,126.16,0.1178082191780822,0.0485034564060221
2023-03-10,135.0,1.15,125.45,0.11506849315068493,0.0479650619614447
2023-03-13,135.0,1.2,125.58,0.10684931506849316,0.0466478710973984
2023-03-14,135.0,0.82,124.65,0.10410958904109589,0.047030521668147
2023-03-15,135.0,0.66,123.28,0.10136986301369863,0.0450919054617335
2023-03-16,135.0,0.72,124.7,0.09863013698630137,0.0448882759806435
2023-03-17,135.0,0.69,123.69,0.0958904109589041,0.042640819454911
2023-03-20,135.0,0.92,125.94,0.08767123287671233,0.0448165655873386
2023-03-21,135.0,0.94,126.57,0.08493150684931507,0.0461142060325859
2023-03-22,135.0,0.54,124.05,0.0821917808219178,0.0458104912547185
2023-03-23,135.0,0.52,123.37,0.07945205479452055,0.0452104312307126
2023-03-24,135.0,0.65,125.29,0.07671232876712329,0.0452926263370916
2023-03-27,135.0,1.62,129.31,0.0684931506849315,0.0455840777816721
2023-03-28,135.0,1.57,129.34,0.06575342465753424,0.0463366806482431
2023-03-29,135.0,1.51,129.71,0.06301369863013699,0.0463557748753904
2023-03-30,135.0,1.34,129.22,0.06027397260273973,0.0468206068164729
2023-03-31,135.0,1.7,131.09,0.057534246575342465,0.0460349434609514
2023-04-03,135.0,2.03,132.06,0.049315068493150684,0.0461285299234516
2023-04-04,135.0,1.85,131.6,0.04657534246575343,0.0473281435569995
2023-04-05,135.0,2.02,132.14,0.043835616438356165,0.0471240150087226
2023-04-06,135.0,1.46,130.5,0.0410958904109589,0.0472480233002666
2023-04-10,135.0,1.46,131.03,0.030136986301369864,0.0485025037515219
2023-04-11,135.0,1.38,130.42,0.0273972602739726,0.0489130137659685
2023-04-12,135.0,0.84,128.54,0.024657534246575342,0.0486339614942388
2023-04-13,135.0,0.67,127.9,0.021917808219178082,0.0485777606610228
2023-04-14,135.0,0.66,128.14,0.019178082191780823,0.0490777418626222
2023-04-17,135.0,0.53,127.82,0.010958904109589041,0.0492938468238336
2023-04-18,135.0,0.45,127.78,0.00821917808219178,0.0502490994056761
2023-04-19,135.0,0.23,126.32,0.005479452054794521,0.0499200018528657
2023-04-20,135.0,0.01,126.36,0.0027397260273972603,0.0494432841734548
2023-04-21,135.0,0.01,125.73,0.0,0.0494975329727375
