Unnamed: 0,date,C,K,expiration_date,option_id,S,TTM,r,IV,delta,initial_moneyness,delta_start
60233,2022-10-17,3.89,140.0,2022-10-21,AAPL_2022-10-21_K140,142.41,0.010958904109589041,0.0369257741016697,0.4177254853583286,0.6632767297908552,ITM,0.8072495804908868
60234,2022-10-18,4.64,140.0,2022-10-21,AAPL_2022-10-21_K140,143.75,0.00821917808219178,0.0384665827145428,0.43911585767343025,0.7554780984705314,ITM,0.8072495804908868
60235,2022-10-19,4.45,140.0,2022-10-21,AAPL_2022-10-21_K140,143.86,0.005479452054794521,0.0389350954453499,0.4548599033246158,0.7969997408109137,ITM,0.8072495804908868
60236,2022-10-20,3.65,140.0,2022-10-21,AAPL_2022-10-21_K140,143.39,0.0027397260273972603,0.0390303104124451,0.43704577365638925,0.8558823757869864,ITM,0.8072495804908868
60237,2022-10-21,7.45,140.0,2022-10-21,AAPL_2022-10-21_K140,147.27,0.0,0.0386946132485307,,,ITM,0.8072495804908868
60268,2022-09-06,13.25,145.0,2022-10-21,AAPL_2022-10-21_K145,154.53,0.1232876712328767,0.0287011530121659,0.3408970912379241,0.7327685573134162,ITM,0.7327685573134162
60269,2022-09-07,14.42,145.0,2022-10-21,AAPL_2022-10-21_K145,155.96,0.12054794520547946,0.0294141315830746,0.35083322024336483,0.7543396810107961,ITM,0.7327685573134162
60270,2022-09-08,12.83,145.0,2022-10-21,AAPL_2022-10-21_K145,154.46,0.1178082191780822,0.0296364691283063,0.32770450036061666,0.7418880015911753,ITM,0.7327685573134162
60271,2022-09-09,14.95,145.0,2022-10-21,AAPL_2022-10-21_K145,157.37,0.11506849315068493,0.0296791833449632,0.3246351039115273,0.7965851688787127,ITM,0.7327685573134162
60272,2022-09-12,20.1,145.0,2022-10-21,AAPL_2022-10-21_K145,163.43,0.10684931506849316,0.0301760874100023,0.34413335994138045,0.8746333658359164,ITM,0.7327685573134162
60273,2022-09-13,12.9,145.0,2022-10-21,AAPL_2022-10-21_K145,153.84,0.10410958904109589,0.0316391610655949,0.3814163550074147,0.7153785373589138,ITM,0.7327685573134162
