Date,K,C,S,TTM,r
2023-06-06,135.0,3.07,132.69,0.1232876712328767,0.0516090445332262
2023-06-07,135.0,4.1,134.38,0.12054794520547946,0.0514038882718214
2023-06-08,135.0,3.95,134.41,0.1178082191780822,0.0509763441641346
2023-06-09,135.0,4.27,135.3,0.11506849315068493,0.0510048527922728
2023-06-12,135.0,5.0,136.42,0.10684931506849316,0.0508984164335123
2023-06-13,135.0,5.58,137.6,0.10410958904109589,0.0511264804748834
2023-06-14,135.0,5.3,137.2,0.10136986301369863,0.0509953500065313
2023-06-15,135.0,6.1,138.4,0.09863013698630137,0.0507159277435028
2023-06-16,135.0,5.37,137.48,0.0958904109589041,0.0508119285496031
2023-06-20,135.0,4.42,135.96,0.08493150684931507,0.0508794087487047
2023-06-21,135.0,3.05,133.69,0.0821917808219178,0.0514665793728401
2023-06-22,135.0,1.83,131.17,0.07945205479452055,0.0514846260824742
2023-06-23,135.0,1.24,129.43,0.07671232876712329,0.0515368647218881
2023-06-26,135.0,1.69,131.34,0.0684931506849315,0.0517030604219807
2023-06-27,135.0,2.1,132.34,0.06575342465753424,0.0519698654617161
2023-06-28,135.0,1.85,131.76,0.06301369863013699,0.0519129023908595
2023-06-29,135.0,2.77,134.06,0.06027397260273973,0.0518806218769888
2023-06-30,135.0,2.49,133.81,0.057534246575342465,0.0515615584015419
2023-07-03,135.0,2.49,133.67,0.049315068493150684,0.0515966983559112
2023-07-05,135.0,2.76,134.24,0.043835616438356165,0.0519717641748631
2023-07-06,135.0,1.84,132.16,0.0410958904109589,0.0521132081663637
2023-07-07,135.0,1.68,132.08,0.038356164383561646,0.0521397860124016
2023-07-10,135.0,1.86,132.9,0.030136986301369864,0.0522555812410082
2023-07-11,135.0,2.67,134.44,0.0273972602739726,0.0525886550455555
2023-07-12,135.0,1.89,132.84,0.024657534246575342,0.0524330446254162
2023-07-13,135.0,2.16,133.92,0.021917808219178082,0.0524007808979089
2023-07-14,135.0,1.95,133.4,0.019178082191780823,0.0524520228024109
2023-07-17,135.0,2.27,134.24,0.010958904109589041,0.0524691028537654
2023-07-18,135.0,2.81,135.36,0.00821917808219178,0.0526142715129607
2023-07-19,135.0,3.05,135.48,0.005479452054794521,0.0511939394520123
2023-07-20,135.0,3.4,138.38,0.0027397260273972603,0.0525488059030185
2023-07-21,135.0,4.0,138.94,0.0,0.0526009889821451
