Date,K,C,S,TTM,r
2023-10-03,140.0,4.95,140.39,0.1232876712328767,0.0535056952229774
2023-10-04,140.0,5.16,141.07,0.12054794520547946,0.0534725181536376
2023-10-05,140.0,5.55,141.52,0.1178082191780822,0.05351422629147
2023-10-06,140.0,5.98,142.03,0.11506849315068493,0.0536071154378191
2023-10-09,140.0,5.55,142.2,0.10684931506849316,
2023-10-10,140.0,5.49,142.11,0.10410958904109589,0.0533767724390145
2023-10-11,140.0,6.03,143.23,0.10136986301369863,0.0534725181536376
2023-10-12,140.0,5.0,141.24,0.09863013698630137,0.05351422629147
2023-10-13,140.0,3.45,138.46,0.0958904109589041,0.0534165886021069
2023-10-16,140.0,3.6,139.21,0.08767123287671233,0.0533843565923055
2023-10-17,140.0,3.91,140.32,0.08493150684931507,0.0535303403333886
2023-10-18,140.0,4.1,139.97,0.0821917808219178,0.0534478716181334
2023-10-19,140.0,3.45,138.01,0.07945205479452055,0.0532421441456326
2023-10-20,140.0,2.69,137.16,0.07671232876712329,0.0531444798858855
2023-10-23,140.0,2.05,136.38,0.0684931506849315,0.0531122391041387
2023-10-24,140.0,2.49,137.79,0.06575342465753424,0.0531160321912373
2023-10-25,140.0,2.38,137.08,0.06301369863013699,0.0531331009051387
2023-10-26,140.0,4.84,143.76,0.06027397260273973,0.0530268908404971
2023-10-27,140.0,3.65,142.52,0.057534246575342465,0.0530524960844525
2023-10-30,140.0,3.72,142.63,0.049315068493150684,0.0531188769971196
2023-10-31,140.0,5.05,144.64,0.04657534246575343,0.053356863762955
2023-11-01,140.0,5.75,145.4,0.043835616438356165,0.0531018080404309
2023-11-02,140.0,7.15,147.01,0.0410958904109589,0.0528713486047762
2023-11-03,140.0,7.92,147.9,0.038356164383561646,0.0526749894072069
2023-11-06,140.0,8.9,148.97,0.030136986301369864,0.0527660593366433
2023-11-07,140.0,9.21,148.83,0.0273972602739726,0.0528372019486789
2023-11-08,140.0,8.2,148.03,0.024657534246575342,0.0528542754224768
2023-11-09,140.0,6.24,146.62,0.021917808219178082,0.0527717509318646
2023-11-10,140.0,9.25,149.02,0.019178082191780823,0.0526503232072993
2023-11-13,140.0,7.75,148.1,0.010958904109589041,0.0527660593366433
2023-11-14,140.0,10.45,150.41,0.00821917808219178,0.0526882709551525
2023-11-15,140.0,13.01,152.58,0.005479452054794521,0.052730011814622
2023-11-16,140.0,12.9,153.06,0.0027397260273972603,0.0525241365904086
2023-11-17,140.0,13.15,152.89,0.0,0.0524766938940606
