Date,K,C,S,TTM,r
2023-08-01,145.0,1.65,143.33,0.1232876712328767,0.0526465283533112
2023-08-02,145.0,2.14,144.17,0.12054794520547946,0.0525896038153096
2023-08-03,145.0,2.41,144.45,0.1178082191780822,0.0525820136320731
2023-08-04,145.0,2.25,144.24,0.11506849315068493,0.0525099040178378
2023-08-07,145.0,3.05,146.18,0.10684931506849316,0.0526256563989555
2023-08-08,145.0,2.85,145.91,0.10410958904109589,0.0529111848965917
2023-08-09,145.0,2.08,142.49,0.10136986301369863,0.0529282571073012
2023-08-10,145.0,2.17,143.25,0.09863013698630137,0.0528713486047762
2023-08-11,145.0,2.11,143.12,0.0958904109589041,0.0527736481230731
2023-08-14,145.0,1.44,141.91,0.08767123287671233,0.0528400475478886
2023-08-15,145.0,1.47,141.87,0.08493150684931507,0.0529851623714328
2023-08-16,145.0,1.05,140.64,0.0821917808219178,0.0529775751899758
2023-08-17,145.0,1.16,140.66,0.07945205479452055,0.0529453290265553
2023-08-18,145.0,1.15,141.41,0.07671232876712329,0.052897906308978
2023-08-21,145.0,1.21,142.28,0.0684931506849315,0.0529149787463819
2023-08-22,145.0,0.98,141.49,0.06575342465753424,0.0531416351528376
2023-08-23,145.0,1.66,143.41,0.06301369863013699,0.0531587034297386
2023-08-24,145.0,1.65,143.55,0.06027397260273973,0.0532004246579797
2023-08-25,145.0,2.35,145.35,0.057534246575342465,0.053350227449522
2023-08-28,145.0,2.64,146.02,0.049315068493150684,0.0534165886021069
2023-08-29,145.0,2.93,146.45,0.04657534246575343,0.0532146474061278
2023-08-30,145.0,2.81,146.86,0.043835616438356165,0.0531824088865936
2023-08-31,145.0,2.95,146.83,0.0410958904109589,0.0529775751899758
2023-09-01,145.0,3.59,147.94,0.038356164383561646,0.0526996549987081
2023-09-05,145.0,3.66,148.13,0.0273972602739726,0.0527660593366433
2023-09-06,145.0,3.44,148.06,0.024657534246575342,0.0531511175648599
2023-09-07,145.0,3.12,147.52,0.021917808219178082,0.0529946462673036
2023-09-08,145.0,3.0,147.68,0.019178082191780823,0.053070514196449
2023-09-11,145.0,3.57,148.38,0.010958904109589041,0.0530629276625467
2023-09-12,145.0,1.66,146.3,0.00821917808219178,0.0532326625967267
2023-09-13,145.0,1.8,146.55,0.005479452054794521,0.0531757714153186
2023-09-14,145.0,2.28,147.35,0.0027397260273972603,0.0531681856799147
2023-09-15,145.0,0.7,145.99,0.0,0.0530951700341465
