Date,K,C,S,TTM,r
2022-12-06,145.0,6.39,147.5,0.1232876712328767,0.042467360163503
2022-12-07,145.0,6.35,147.27,0.12054794520547946,0.0419410481461192
2022-12-08,145.0,6.22,147.78,0.1178082191780822,0.0416629208425833
2022-12-09,145.0,5.93,147.05,0.11506849315068493,0.0418969365629857
2022-12-12,145.0,7.25,149.21,0.10684931506849316,0.041818298045032
2022-12-13,145.0,8.52,150.57,0.10410958904109589,0.0426168627800773
2022-12-14,145.0,7.57,149.86,0.10136986301369863,0.04226415410803
2022-12-15,145.0,2.9,142.36,0.09863013698630137,0.04213473250259
2022-12-16,145.0,1.89,140.16,0.0958904109589041,0.0418230932536596
2022-12-19,145.0,1.25,138.87,0.08767123287671233,0.0414710638291893
2022-12-20,145.0,1.96,141.28,0.08493150684931507,0.0423926004727432
2022-12-21,145.0,2.28,142.14,0.0821917808219178,0.0422392297677809
2022-12-22,145.0,1.86,140.88,0.07945205479452055,0.0421845857710096
2022-12-23,145.0,1.84,141.65,0.07671232876712329,0.042040771509756
2022-12-27,145.0,2.07,142.42,0.06575342465753424,0.0419122799430368
2022-12-28,145.0,1.27,140.02,0.06301369863013699,0.0434301104271833
2022-12-29,145.0,1.44,141.06,0.06027397260273973,0.042954119924598
2022-12-30,145.0,1.27,140.89,0.057534246575342465,0.0427107696609333
2023-01-03,145.0,1.32,141.55,0.04657534246575343,0.042681065376663
2023-01-04,145.0,1.39,142.6,0.043835616438356165,0.0440752569188666
2023-01-05,145.0,1.09,141.11,0.0410958904109589,0.0450861699875388
2023-01-06,145.0,1.73,143.7,0.038356164383561646,0.0448710659552296
2023-01-09,145.0,1.59,143.55,0.030136986301369864,0.0449647613992137
2023-01-10,145.0,1.89,144.8,0.0273972602739726,0.0456184730037969
2023-01-11,145.0,2.15,145.26,0.024657534246575342,0.0455630578968602
2023-01-12,145.0,1.85,145.55,0.021917808219178082,0.0448136970646422
2023-01-13,145.0,1.78,145.89,0.019178082191780823,0.0449647613992137
2023-01-17,145.0,1.12,145.19,0.00821917808219178,0.0449838818398258
2023-01-18,145.0,0.06,140.41,0.005479452054794521,0.0454388404665107
2023-01-19,145.0,0.03,140.62,0.0027397260273972603,0.0453585686891644
2023-01-20,145.0,0.01,141.2,0.0,0.0454159063304815
