Date,K,C,S,TTM,r
2023-01-31,140.0,1.07,134.73,0.1232876712328767,0.0457913866128631
2023-02-01,140.0,0.92,135.09,0.12054794520547946,0.0453643026012406
2023-02-02,140.0,1.35,136.39,0.1178082191780822,0.0451855802173156
2023-02-03,140.0,1.45,136.94,0.11506849315068493,0.0453423224264019
2023-02-06,140.0,1.19,136.18,0.10684931506849316,0.0453862822929621
2023-02-07,140.0,1.06,135.84,0.10410958904109589,0.0458162225761034
2023-02-08,140.0,1.12,135.98,0.10136986301369863,0.0459098295091979
2023-02-09,140.0,1.03,133.75,0.09863013698630137,0.0463996902142615
2023-02-10,140.0,1.5,135.6,0.0958904109589041,0.0464560135868055
2023-02-13,140.0,1.97,137.35,0.08767123287671233,0.0465247428964467
2023-02-14,140.0,1.37,136.01,0.08493150684931507,0.0466345090802681
2023-02-15,140.0,1.2,136.4,0.0821917808219178,0.0465543332278557
2023-02-16,140.0,0.86,135.0,0.07945205479452055,0.0467709841396629
2023-02-17,140.0,0.74,135.02,0.07671232876712329,0.0468463714659439
2023-02-21,140.0,0.3,131.71,0.06575342465753424,0.0469141197838317
2023-02-22,140.0,0.16,130.97,0.06301369863013699,0.0470744073859288
2023-02-23,140.0,0.12,130.79,0.06027397260273973,0.0469942667963947
2023-02-24,140.0,0.09,130.57,0.057534246575342465,0.0469999913372149
2023-02-27,140.0,0.08,130.49,0.049315068493150684,0.0465734232995871
2023-02-28,140.0,0.03,129.3,0.04657534246575343,0.0473281435569995
2023-03-01,140.0,0.03,128.19,0.043835616438356165,0.0472718692857247
2023-03-02,140.0,0.03,128.93,0.0410958904109589,0.0472909456646851
2023-03-03,140.0,0.03,129.64,0.038356164383561646,0.0472976223113489
2023-03-06,140.0,0.04,130.19,0.030136986301369864,0.0473157444133034
2023-03-07,140.0,0.02,128.25,0.0273972602739726,0.0484920244921196
2023-03-08,140.0,0.02,128.05,0.024657534246575342,0.0486091954146221
2023-03-09,140.0,0.02,126.16,0.021917808219178082,0.0485034564060221
2023-03-10,140.0,0.02,125.45,0.019178082191780823,0.0479650619614447
2023-03-13,140.0,0.01,125.58,0.010958904109589041,0.0466478710973984
2023-03-14,140.0,0.01,124.65,0.00821917808219178,0.047030521668147
2023-03-15,140.0,0.01,123.28,0.005479452054794521,0.0450919054617335
2023-03-16,140.0,0.01,124.7,0.0027397260273972603,0.0448882759806435
2023-03-17,140.0,0.02,123.69,0.0,0.042640819454911
