Unnamed: 0,date,C,K,expiration_date,initial_moneyness,option_id,S,TTM,r,IV,delta
30,2016-12-06,7.85,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,153.16054739999998,0.1232876712328767,0.0049109216603904,0.4033215255964995,0.49632245525234747
31,2016-12-07,11.16,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,157.40147556,0.12054794520547946,0.0048860438230096,0.45650769705207017,0.5714106669541132
32,2016-12-08,11.9,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,157.94591904,0.1178082191780822,0.0049616705296219,0.4819214511753745,0.5792840648323074
33,2016-12-09,12.88,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.05390928,0.11506849315068493,0.0052392511230488,0.5033215035614768,0.5948796902556227
34,2016-12-12,11.7,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,158.079642,0.10684931506849316,0.0050124168235365,0.4924700161457028,0.5816165063783437
35,2016-12-13,14.5,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.74454956,0.10410958904109589,0.0052909780565782,0.5593852856771434,0.6159730008788089
36,2016-12-14,14.38,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.95468563999998,0.10136986301369863,0.0052651149242731,0.5541336308919536,0.6197829965186679
37,2016-12-15,14.58,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.48665528,0.09863013698630137,0.0049367939547469,0.5873437969770786,0.6115848022059505
38,2016-12-16,12.95,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.25449372,0.0958904109589041,0.0049109216603904,0.5492855456032764,0.5975508229877464
39,2016-12-19,12.93,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.20673552,0.08767123287671233,0.0048352911155656,0.5751408639276656,0.5967269358116496
40,2016-12-20,13.1,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.0854864,0.08493150684931507,0.0051895111635469,0.5641659243132796,0.6107360849724531
41,2016-12-21,13.45,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.82759212000002,0.0821917808219178,0.0050631605423953,0.6023642681713225,0.6050183397272783
42,2016-12-22,13.0,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.56969784,0.07945205479452055,0.0049875415110389,0.595793890999449,0.6023147237786823
43,2016-12-23,12.79,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.23539044,0.07671232876712329,0.0050621655922646,0.6058255086572369,0.5974973334217399
44,2016-12-27,13.0,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.64611096,0.06575342465753424,0.0050880339739402,0.6523365152481582,0.6034162845889212
45,2016-12-28,12.18,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,158.73870516,0.06301369863013699,0.005037291517268,0.648475963020184,0.5908605322638906
46,2016-12-29,12.4,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.13032239999998,0.06027397260273973,0.0043545053650357,0.662522820007872,0.5966259953233826
47,2016-12-30,11.95,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,158.54767236,0.057534246575342465,0.0048601702155803,0.6709301232175746,0.5881635512111034
48,2017-01-03,12.9,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.69386916,0.04657534246575343,0.0048601702155803,0.766066886234198,0.6042965945471633
49,2017-01-04,15.05,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,161.67105863999998,0.043835616438356165,0.0051895111635469,0.8621669449583735,0.6273928972806722
50,2017-01-05,14.02,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,161.13616679999998,0.0410958904109589,0.0051139016864599,0.8344887772635604,0.6237441844531099
51,2017-01-06,15.1,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,161.92895292,0.038356164383561646,0.0050880339739402,0.912549096477311,0.6312442118200505
52,2017-01-09,13.43,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.1332446,0.030136986301369864,0.0049109216603904,0.9776389746258356,0.609379846772728
53,2017-01-10,11.14,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,158.09874528,0.0273972602739726,0.0050631605423953,0.9198125876022757,0.5820150072121466
54,2017-01-11,13.03,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.228761,0.024657534246575342,0.0050124168235365,1.0335016796332346,0.6126916033257129
55,2017-01-12,13.25,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.41979379999998,0.021917808219178082,0.005138773855946,1.107610577845161,0.614960236273344
56,2017-01-13,13.12,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.83714376,0.019178082191780823,0.0052143814525558,1.2107250908811675,0.6055393862185542
57,2017-01-17,13.2,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,160.36248396,0.00821917808219178,0.0051885163391208,1.807135631527816,0.6140059414782907
58,2017-01-18,12.16,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.3213552,0.005479452054794521,0.005240245897004,2.123874609210149,0.6001352837544611
59,2017-01-19,11.99,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,159.33090684,0.0027397260273972603,0.005037291517268,2.9494360932058417,0.6009424408455135
60,2017-01-20,15.4,155.0,2017-01-20,ATM,IBM_2017-01-20_K155,162.90322020000002,0.0,0.0048860438230096,,
91,2016-12-06,20.8,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,153.16054739999998,0.1232876712328767,0.0049109216603904,0.6413460404773003,0.6964622834857754
92,2016-12-07,24.94,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,157.40147556,0.12054794520547946,0.0048860438230096,0.7096392307210989,0.7261084364968634
93,2016-12-08,25.9,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,157.94591904,0.1178082191780822,0.0049616705296219,0.7491966791111883,0.7257059846937153
94,2016-12-09,26.94,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.05390928,0.11506849315068493,0.0052392511230488,0.7710074824991844,0.7326865745573954
96,2016-12-13,29.6,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,160.74454956,0.10410958904109589,0.0052909780565782,0.8945699089799318,0.7339925268973962
97,2016-12-14,29.31,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,160.95468563999998,0.10136986301369863,0.0052651149242731,0.8801085424152705,0.7388405653981476
98,2016-12-15,29.5,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,160.48665528,0.09863013698630137,0.0049367939547469,0.9247831887325647,0.7314213084704957
100,2016-12-19,27.1,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.20673552,0.08767123287671233,0.0048352911155656,0.8874070534763094,0.7331184770775206
101,2016-12-20,27.51,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,160.0854864,0.08493150684931507,0.0051895111635469,0.8857937544146965,0.7421922873927524
102,2016-12-21,27.83,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.82759212000002,0.0821917808219178,0.0050631605423953,0.9348306008800106,0.7355778303952893
103,2016-12-22,27.3,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.56969784,0.07945205479452055,0.0049875415110389,0.9278153422672315,0.7364918129068747
104,2016-12-23,27.2,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.23539044,0.07671232876712329,0.0050621655922646,0.9543446146932196,0.7325975976597088
105,2016-12-27,27.6,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.64611096,0.06575342465753424,0.0050880339739402,1.03851693466593,0.7348415299678669
106,2016-12-28,26.95,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,158.73870516,0.06301369863013699,0.005037291517268,1.0619965734504735,0.7276389105568823
107,2016-12-29,26.81,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.13032239999998,0.06027397260273973,0.0043545053650357,1.053151845827245,0.7342319267049253
108,2016-12-30,26.2,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,158.54767236,0.057534246575342465,0.0048601702155803,1.0632050990605282,0.7312035038748789
109,2017-01-03,26.88,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,159.69386916,0.04657534246575343,0.0048601702155803,1.1674657725117554,0.7419137387428101
110,2017-01-04,29.4,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,161.67105863999998,0.043835616438356165,0.0051895111635469,1.3002994395822245,0.7471689027996962
111,2017-01-05,28.29,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,161.13616679999998,0.0410958904109589,0.0051139016864599,1.2750567231981857,0.7498535693924281
112,2017-01-06,30.0,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,161.92895292,0.038356164383561646,0.0050880339739402,1.430527701098776,0.7454277466036141
113,2017-01-09,28.36,140.0,2017-01-20,ITM,IBM_2017-01-20_K140,160.1332446,0.030136986301369864,0.0049109216603904,1.5800323896853812,0.7348474076372218
