Date,K,C,S,TTM,r
2023-09-05,150.0,2.53,148.13,0.1232876712328767,0.0527660593366433
2023-09-06,150.0,2.37,148.06,0.12054794520547946,0.0531511175648599
2023-09-07,150.0,2.07,147.52,0.1178082191780822,0.0529946462673036
2023-09-08,150.0,2.01,147.68,0.11506849315068493,0.053070514196449
2023-09-11,150.0,2.07,148.38,0.10684931506849316,0.0530629276625467
2023-09-12,150.0,1.32,146.3,0.10410958904109589,0.0532326625967267
2023-09-13,150.0,1.3,146.55,0.10136986301369863,0.0531757714153186
2023-09-14,150.0,1.4,147.35,0.09863013698630137,0.0531681856799147
2023-09-15,150.0,0.96,145.99,0.0958904109589041,0.0530951700341465
2023-09-18,150.0,0.68,145.09,0.08767123287671233,0.0531122391041387
2023-09-19,150.0,1.03,146.52,0.08493150684931507,0.0532582625724555
2023-09-20,150.0,2.91,149.83,0.0821917808219178,0.0532743807394789
2023-09-21,150.0,1.73,147.38,0.07945205479452055,0.0533170452217306
2023-09-22,150.0,1.45,146.91,0.07671232876712329,0.0532686920043123
2023-09-25,150.0,1.15,146.48,0.0684931506849315,0.0532611069737493
2023-09-26,150.0,0.56,143.24,0.06575342465753424,0.0532886024358147
2023-09-27,150.0,0.41,143.17,0.06301369863013699,0.053305668204443
2023-09-28,150.0,0.25,141.58,0.06027397260273973,0.0531008597565164
2023-09-29,150.0,0.11,140.3,0.057534246575342465,0.0530278391945577
2023-10-02,150.0,0.13,140.8,0.049315068493150684,0.0531188769971196
2023-10-03,150.0,0.13,140.39,0.04657534246575343,0.0535056952229774
2023-10-04,150.0,0.1,141.07,0.043835616438356165,0.0534725181536376
2023-10-05,150.0,0.1,141.52,0.0410958904109589,0.05351422629147
2023-10-06,150.0,0.08,142.03,0.038356164383561646,0.0536071154378191
2023-10-09,150.0,0.08,142.2,0.030136986301369864,
2023-10-10,150.0,0.03,142.11,0.0273972602739726,0.0533767724390145
2023-10-11,150.0,0.04,143.23,0.024657534246575342,0.0534725181536376
2023-10-12,150.0,0.03,141.24,0.021917808219178082,0.05351422629147
2023-10-13,150.0,0.03,138.46,0.019178082191780823,0.0534165886021069
2023-10-16,150.0,0.01,139.21,0.010958904109589041,0.0533843565923055
2023-10-17,150.0,0.01,140.32,0.00821917808219178,0.0535303403333886
2023-10-18,150.0,0.02,139.97,0.005479452054794521,0.0534478716181334
2023-10-19,150.0,0.02,138.01,0.0027397260273972603,0.0532421441456326
2023-10-20,150.0,0.03,137.16,0.0,0.0531444798858855
