,Date,Underlying,C145
0,2023-06-20,135.96,1.59
1,2023-06-21,133.69,1.06
2,2023-06-22,131.17,0.61
3,2023-06-23,129.43,0.53
4,2023-06-26,131.34,0.61
5,2023-06-27,132.34,0.73
6,2023-06-28,131.76,0.62
7,2023-06-29,134.06,0.92
8,2023-06-30,133.81,0.85
9,2023-07-03,133.67,0.77
10,2023-07-05,134.24,0.88
11,2023-07-06,132.16,0.62
12,2023-07-07,132.08,0.77
13,2023-07-10,132.9,
14,2023-07-11,134.44,0.8
15,2023-07-12,132.84,0.58
16,2023-07-13,133.92,0.68
17,2023-07-14,133.4,0.59
18,2023-07-17,134.24,0.77
19,2023-07-18,135.36,0.91
20,2023-07-19,135.48,1.13
21,2023-07-20,138.38,0.9
22,2023-07-21,138.94,0.87
23,2023-07-24,139.54,0.91
24,2023-07-25,140.33,1.02
25,2023-07-26,141.07,1.01
26,2023-07-27,142.97,1.68
27,2023-07-28,143.45,1.68
28,2023-07-31,144.18,2.02
29,2023-08-01,143.33,1.65
30,2023-08-02,144.17,2.14
31,2023-08-03,144.45,2.41
32,2023-08-04,144.24,2.25
33,2023-08-07,146.18,3.05
34,2023-08-08,145.91,2.85
35,2023-08-09,142.49,2.08
36,2023-08-10,143.25,2.17
37,2023-08-11,143.12,2.11
38,2023-08-14,141.91,1.44
39,2023-08-15,141.87,1.47
40,2023-08-16,140.64,1.05
41,2023-08-17,140.66,1.16
42,2023-08-18,141.41,1.15
43,2023-08-21,142.28,1.21
44,2023-08-22,141.49,0.98
45,2023-08-23,143.41,1.66
46,2023-08-24,143.55,1.65
47,2023-08-25,145.35,2.35
48,2023-08-28,146.02,2.64
49,2023-08-29,146.45,2.93
50,2023-08-30,146.86,2.81
51,2023-08-31,146.83,2.95
52,2023-09-01,147.94,3.59
53,2023-09-05,148.13,3.66
54,2023-09-06,148.06,3.44
55,2023-09-07,147.52,3.12
56,2023-09-08,147.68,3.0
57,2023-09-11,148.38,3.57
58,2023-09-12,146.3,1.66
59,2023-09-13,146.55,1.8
60,2023-09-14,147.35,2.28
61,2023-09-15,145.99,0.7
