,Date,Underlying,C140
0,2022-12-19,138.87,5.63
1,2022-12-20,141.28,7.65
2,2022-12-21,142.14,8.28
3,2022-12-22,140.88,6.65
4,2022-12-23,141.65,7.35
5,2022-12-27,142.42,8.02
6,2022-12-28,140.02,6.95
7,2022-12-29,141.06,7.35
8,2022-12-30,140.89,6.75
9,2023-01-03,141.55,7.3
10,2023-01-04,142.6,7.5
11,2023-01-05,141.11,6.71
12,2023-01-06,143.7,8.2
13,2023-01-09,143.55,8.45
14,2023-01-10,144.8,8.42
15,2023-01-11,145.26,8.75
16,2023-01-12,145.55,9.37
17,2023-01-13,145.89,9.06
18,2023-01-17,145.19,8.46
19,2023-01-18,140.41,5.5
20,2023-01-19,140.62,6.24
21,2023-01-20,141.2,5.75
22,2023-01-23,141.86,5.9
23,2023-01-24,141.49,5.75
24,2023-01-25,140.76,5.08
25,2023-01-26,134.45,1.31
26,2023-01-27,134.39,1.18
27,2023-01-30,135.3,1.3
28,2023-01-31,134.73,1.07
29,2023-02-01,135.09,0.92
30,2023-02-02,136.39,1.35
31,2023-02-03,136.94,1.45
32,2023-02-06,136.18,1.19
33,2023-02-07,135.84,1.06
34,2023-02-08,135.98,1.12
35,2023-02-09,133.75,1.03
36,2023-02-10,135.6,1.5
37,2023-02-13,137.35,1.97
38,2023-02-14,136.01,1.37
39,2023-02-15,136.4,1.2
40,2023-02-16,135.0,0.86
41,2023-02-17,135.02,0.74
42,2023-02-21,131.71,0.3
43,2023-02-22,130.97,0.16
44,2023-02-23,130.79,0.12
45,2023-02-24,130.57,0.09
46,2023-02-27,130.49,0.08
47,2023-02-28,129.3,0.03
48,2023-03-01,128.19,0.03
49,2023-03-02,128.93,0.03
50,2023-03-03,129.64,0.03
51,2023-03-06,130.19,0.04
52,2023-03-07,128.25,0.02
53,2023-03-08,128.05,0.02
54,2023-03-09,126.16,0.02
55,2023-03-10,125.45,0.02
56,2023-03-13,125.58,0.01
57,2023-03-14,124.65,0.01
58,2023-03-15,123.28,0.01
59,2023-03-16,124.7,0.01
60,2023-03-17,123.69,0.02
