,Date,Underlying,C147
0,2022-12-19,138.87,0.73
1,2022-12-20,141.28,1.3
2,2022-12-21,142.14,1.65
3,2022-12-22,140.88,1.17
4,2022-12-23,141.65,1.2
5,2022-12-27,142.42,1.4
6,2022-12-28,140.02,0.87
7,2022-12-29,141.06,1.01
8,2022-12-30,140.89,0.61
9,2023-01-03,141.55,0.8
10,2023-01-04,142.6,0.9
11,2023-01-05,141.11,0.67
12,2023-01-06,143.7,1.1
13,2023-01-09,143.55,0.84
14,2023-01-10,144.8,0.95
15,2023-01-11,145.26,1.18
16,2023-01-12,145.55,0.87
17,2023-01-13,145.89,0.8
18,2023-01-17,145.19,0.34
19,2023-01-18,140.41,0.04
20,2023-01-19,140.62,0.02
21,2023-01-20,141.2,0.02
