,Date,Underlying,C130
0,2023-05-22,127.5,4.15
1,2023-05-23,128.18,4.5
2,2023-05-24,125.68,3.5
3,2023-05-25,126.76,4.2
4,2023-05-26,128.89,5.25
5,2023-05-30,129.48,5.4
6,2023-05-31,128.59,4.4
7,2023-06-01,129.82,5.2
8,2023-06-02,132.42,6.8
9,2023-06-05,132.64,6.8
10,2023-06-06,132.69,6.6
11,2023-06-07,134.38,7.7
12,2023-06-08,134.41,8.0
13,2023-06-09,135.3,8.19
14,2023-06-12,136.42,9.14
15,2023-06-13,137.6,10.01
16,2023-06-14,137.2,9.76
17,2023-06-15,138.4,10.74
18,2023-06-16,137.48,10.05
19,2023-06-20,135.96,8.84
20,2023-06-21,133.69,6.6
21,2023-06-22,131.17,4.87
22,2023-06-23,129.43,3.65
23,2023-06-26,131.34,4.7
24,2023-06-27,132.34,5.4
25,2023-06-28,131.76,4.94
26,2023-06-29,134.06,6.5
27,2023-06-30,133.81,6.1
28,2023-07-03,133.67,6.25
29,2023-07-05,134.24,6.3
30,2023-07-06,132.16,5.18
31,2023-07-07,132.08,4.97
32,2023-07-10,132.9,5.12
33,2023-07-11,134.44,6.5
34,2023-07-12,132.84,5.23
35,2023-07-13,133.92,5.9
36,2023-07-14,133.4,5.4
37,2023-07-17,134.24,6.35
38,2023-07-18,135.36,7.02
39,2023-07-19,135.48,7.2
40,2023-07-20,138.38,8.55
41,2023-07-21,138.94,9.76
42,2023-07-24,139.54,9.85
43,2023-07-25,140.33,10.53
44,2023-07-26,141.07,11.5
45,2023-07-27,142.97,12.79
46,2023-07-28,143.45,13.3
47,2023-07-31,144.18,14.11
48,2023-08-01,143.33,12.8
49,2023-08-02,144.17,14.25
50,2023-08-03,144.45,15.0
51,2023-08-04,144.24,14.3
52,2023-08-07,146.18,15.84
53,2023-08-08,145.91,15.9
54,2023-08-09,142.49,13.45
55,2023-08-10,143.25,
56,2023-08-11,143.12,13.55
57,2023-08-14,141.91,12.7
58,2023-08-15,141.87,12.02
59,2023-08-16,140.64,11.65
60,2023-08-17,140.66,11.7
61,2023-08-18,141.41,11.0
