,Date,Underlying,C125
0,2023-03-20,125.94,5.95
1,2023-03-21,126.57,6.38
2,2023-03-22,124.05,5.95
3,2023-03-23,123.37,4.75
4,2023-03-24,125.29,5.35
5,2023-03-27,129.31,8.25
6,2023-03-28,129.34,8.05
7,2023-03-29,129.71,8.42
8,2023-03-30,129.22,8.12
9,2023-03-31,131.09,8.65
10,2023-04-03,132.06,9.76
11,2023-04-04,131.6,9.25
12,2023-04-05,132.14,9.68
13,2023-04-06,130.5,8.54
14,2023-04-10,131.03,8.58
15,2023-04-11,130.42,8.25
16,2023-04-12,128.54,7.35
17,2023-04-13,127.9,6.25
18,2023-04-14,128.14,5.89
19,2023-04-17,127.82,5.9
20,2023-04-18,127.78,5.7
21,2023-04-19,126.32,4.69
22,2023-04-20,126.36,3.83
23,2023-04-21,125.73,3.35
24,2023-04-24,125.4,2.9
25,2023-04-25,125.89,3.45
26,2023-04-26,125.85,3.45
27,2023-04-27,126.97,3.86
28,2023-04-28,126.41,3.15
29,2023-05-01,126.09,3.15
30,2023-05-02,125.16,2.58
31,2023-05-03,123.45,1.95
32,2023-05-04,122.57,1.64
33,2023-05-05,123.65,1.81
34,2023-05-08,123.4,1.67
35,2023-05-09,121.17,1.44
36,2023-05-10,122.02,1.52
37,2023-05-11,120.9,1.08
38,2023-05-12,122.84,1.61
39,2023-05-15,123.36,1.76
40,2023-05-16,123.46,1.88
41,2023-05-17,125.71,3.05
42,2023-05-18,126.15,3.38
43,2023-05-19,127.26,4.1
44,2023-05-22,127.5,4.27
45,2023-05-23,128.18,4.7
46,2023-05-24,125.68,3.15
47,2023-05-25,126.76,3.79
48,2023-05-26,128.89,5.38
49,2023-05-30,129.48,5.55
50,2023-05-31,128.59,4.95
51,2023-06-01,129.82,5.5
52,2023-06-02,132.42,8.2
53,2023-06-05,132.64,8.17
54,2023-06-06,132.69,8.15
55,2023-06-07,134.38,9.67
56,2023-06-08,134.41,10.2
57,2023-06-09,135.3,10.52
58,2023-06-12,136.42,11.51
59,2023-06-13,137.6,12.69
60,2023-06-14,137.2,12.22
61,2023-06-15,138.4,13.34
62,2023-06-16,137.48,12.95
