,Date,Underlying,C150
0,2023-07-24,139.54,0.86
1,2023-07-25,140.33,0.92
2,2023-07-26,141.07,0.95
3,2023-07-27,142.97,1.41
4,2023-07-28,143.45,1.47
5,2023-07-31,144.18,1.65
6,2023-08-01,143.33,1.46
7,2023-08-02,144.17,1.82
8,2023-08-03,144.45,1.94
9,2023-08-04,144.24,1.91
10,2023-08-07,146.18,2.36
11,2023-08-08,145.91,2.3
12,2023-08-09,142.49,1.77
13,2023-08-10,143.25,1.9
14,2023-08-11,143.12,1.76
15,2023-08-14,141.91,1.35
16,2023-08-15,141.87,1.25
17,2023-08-16,140.64,1.16
18,2023-08-17,140.66,1.17
19,2023-08-18,141.41,1.22
20,2023-08-21,142.28,1.24
21,2023-08-22,141.49,1.05
22,2023-08-23,143.41,1.52
23,2023-08-24,143.55,1.73
24,2023-08-25,145.35,1.92
25,2023-08-28,146.02,2.06
26,2023-08-29,146.45,2.09
27,2023-08-30,146.86,2.04
28,2023-08-31,146.83,2.07
29,2023-09-01,147.94,2.32
30,2023-09-05,148.13,2.53
31,2023-09-06,148.06,2.37
32,2023-09-07,147.52,2.07
33,2023-09-08,147.68,2.01
34,2023-09-11,148.38,2.07
35,2023-09-12,146.3,1.32
36,2023-09-13,146.55,1.3
37,2023-09-14,147.35,1.4
38,2023-09-15,145.99,0.96
39,2023-09-18,145.09,0.68
40,2023-09-19,146.52,1.03
41,2023-09-20,149.83,2.91
42,2023-09-21,147.38,1.73
43,2023-09-22,146.91,1.45
44,2023-09-25,146.48,1.15
45,2023-09-26,143.24,0.56
46,2023-09-27,143.17,0.41
47,2023-09-28,141.58,0.25
48,2023-09-29,140.3,0.11
49,2023-10-02,140.8,0.13
50,2023-10-03,140.39,0.13
51,2023-10-04,141.07,0.1
52,2023-10-05,141.52,0.1
53,2023-10-06,142.03,0.08
54,2023-10-09,142.2,0.08
55,2023-10-10,142.11,0.03
56,2023-10-11,143.23,0.04
57,2023-10-12,141.24,0.03
58,2023-10-13,138.46,0.03
59,2023-10-16,139.21,0.01
60,2023-10-17,140.32,0.01
61,2023-10-18,139.97,0.02
62,2023-10-19,138.01,0.02
63,2023-10-20,137.16,0.03
