,Date,Underlying,C140
0,2023-08-21,142.28,7.4
1,2023-08-22,141.49,7.1
2,2023-08-23,143.41,7.7
3,2023-08-24,143.55,8.25
4,2023-08-25,145.35,9.31
5,2023-08-28,146.02,9.77
6,2023-08-29,146.45,10
7,2023-08-30,146.86,10.05
8,2023-08-31,146.83,10.2
9,2023-09-01,147.94,10.43
10,2023-09-05,148.13,11.23
11,2023-09-06,148.06,10.57
12,2023-09-07,147.52,10.5
13,2023-09-08,147.68,10.02
14,2023-09-11,148.38,10.59
15,2023-09-12,146.3,9.05
16,2023-09-13,146.55,9.35
17,2023-09-14,147.35,9.73
18,2023-09-15,145.99,8.58
19,2023-09-18,145.09,8.45
20,2023-09-19,146.52,9.1
21,2023-09-20,149.83,12.2
22,2023-09-21,147.38,10.92
23,2023-09-22,146.91,9.65
24,2023-09-25,146.48,9.36
25,2023-09-26,143.24,7.15
26,2023-09-27,143.17,6.8
27,2023-09-28,141.58,5.83
28,2023-09-29,140.3,5
29,2023-10-02,140.8,5.05
30,2023-10-03,140.39,4.95
31,2023-10-04,141.07,5.16
32,2023-10-05,141.52,5.55
33,2023-10-06,142.03,5.98
34,2023-10-09,142.2,5.55
35,2023-10-10,142.11,5.49
36,2023-10-11,143.23,6.03
37,2023-10-12,141.24,5
38,2023-10-13,138.46,3.45
39,2023-10-16,139.21,3.6
40,2023-10-17,140.32,3.91
41,2023-10-18,139.97,4.1
42,2023-10-19,138.01,3.45
43,2023-10-20,137.16,2.69
44,2023-10-23,136.38,2.05
45,2023-10-24,137.79,2.49
46,2023-10-25,137.08,2.38
47,2023-10-26,143.76,4.84
48,2023-10-27,142.52,3.65
49,2023-10-30,142.63,3.72
50,2023-10-31,144.64,5.05
51,2023-11-01,145.4,5.75
52,2023-11-02,147.01,7.15
53,2023-11-03,147.9,7.92
54,2023-11-06,148.97,8.9
55,2023-11-07,148.83,9.21
56,2023-11-08,148.03,8.2
57,2023-11-09,146.62,6.24
58,2023-11-10,149.02,9.25
59,2023-11-13,148.1,7.75
60,2023-11-14,150.41,10.45
61,2023-11-15,152.58,13.01
62,2023-11-16,153.06,12.9
63,2023-11-17,152.89,13.15
